s;Last round;Best round;Nº of attributes;Train accuracy;Fitness;Test accuracy;Time(min);Attributes
0;-;-;30;0,9603;1,1501;0,9737;0;['radius_mean', 'texture_mean', 'perimeter_mean', 'area_mean', 'smoothness_mean', 'compactness_mean', 'concavity_mean', 'concave points_mean', 'symmetry_mean', 'fractal_dimension_mean', 'radius_se', 'texture_se', 'perimeter_se', 'area_se', 'smoothness_se', 'compactness_se', 'concavity_se', 'concave points_se', 'symmetry_se', 'fractal_dimension_se', 'radius_worst', 'texture_worst', 'perimeter_worst', 'area_worst', 'smoothness_worst', 'compactness_worst', 'concavity_worst', 'concave points_worst', 'symmetry_worst', 'fractal_dimension_worst']
1;4;4;6;0,9714;1,1636;0,9649;0;['texture_mean', 'concave points_mean', 'fractal_dimension_se', 'radius_worst', 'texture_worst', 'area_worst']
